New column 0,New column 1,New column 2
Pranesh,Reviewed in India on 15 October 2017,"Works fine on ubuntu linux after installing the HPLIP toolbox (search in software center). I use simple scan which comes default with OS.
The cartridges run out quicky though, i did not open both color and black cartridges, only installed black one. It will print around 80 pages if prints have only words in it, around 20-30 pages if it has many images and background colors. Use once in 2-3 weeks, print a test page, to keep the ink wet.

Print quality is good, no smudges, no fades. There is another budget printer model available worth checking out - Canon Pixma MG2577s, which could save a few hundred bucks at current price."
Nazia zamani,Reviewed in India on 23 February 2020,"Product is ok. But the delivery executive took rs 26 extra as he had no change. He assured he will add it to my Amazon pay account, but he didn't. Very bad behaviour. You lose the trust of your customers this way."
Catshyamlee,Reviewed in India on 2 April 2022,"Even with liquid ink i could use it very well...
If you are on budget please give it a try ....it's amazing.....i don't use cartridge....i use liquid ink... This has saved my life....thank you Amazon for putting up on sale"
irfan khan,Reviewed in India on 6 February 2021,Everything thing is okk but you have too buy a cartridge after use whose cost is near about 1800 so it's too costly.
CHANDRAKANT G NAIK,Reviewed in India on 5 July 2021,"I just want it to perform that is what l want, rest it is beautiful"
ankita,Reviewed in India on 9 December 2021,The printer is easy to use but it stopped working within 2 months. I tried to connect to customer care but no response yet. Don't buy as HP service is really very poor.
Sayed Anwar,Reviewed in India on 28 July 2021,"Honestly speaking I buyed this product as it was best selling product ... After a day use, its cartridge goes empty and I ordered ink worth of 500 to fill this ... And after filling it also goes to empty after 60 pages and after filling again it was not doing the printing so I have to order a new cartridge worth 717 and then after 60 pages it again goes to empty and the printer is not doing well and taking out only empty pages ..... Totally waste of money .... I prefer not to buy this ....."
Shantanu Gupta.v,Reviewed in India on 11 November 2019,"not good at all.. always facing a problem to fetch papers.. i bought this in April 2019, since October 2019 it is not fetching papers any more...and this printer consume ink so much either black & white or colour print"
Mohit rajput,Reviewed in India on 22 December 2022,"I got a used printer as all the seals of this are already removed , even some parts are missing , and also it is defective"
D. Chakrabarti,Reviewed in India on 13 August 2021,Good print quality. Easy to install. Low price. Cartridge is a bit costly.
Sudhakara Venkat,Reviewed in India on 17 September 2022,Except initial paper feeder stuck all. Other functions are working great
Naved K.,Reviewed in India on 19 August 2020,"Very good product, easy to use. Just install the HP all and you can very easily print, scan etc. Not for heavy usage and good if you need to print 8-10 pages per week"
HARIDHAR,Reviewed in India on 13 October 2020,"Cartridge ink level is low. Small count of papers print.
Scanning also in poor quality with compare to other models"
Siri,Reviewed in India on 11 December 2021,Slow working
PRADEEP TK,Reviewed in India on 28 July 2021,Average product.
Madhu,Reviewed in India on 16 April 2021,"Nice printer but pacakaging were not done properly, there should be some extra packaging of Amazon except hp packaging."
Chandrakumar M,Reviewed in India on 30 September 2022,Working from office use printer good
Hari Prasad mahto,Reviewed in India on 16 December 2021,Like
ashwani,Reviewed in India on 11 September 2022,Use karna bout easy h or print bi bout acha h
rohit kr. ranjan,Reviewed in India on 24 July 2020,Good quality printer. But my b/w catridges last after printing 60 pages.quality of b/w & colour print is awesome.ALWAYS try to buy this printer with ink refill.After refilling with ink I will update soon. Thanks
Panna,Reviewed in India on 18 May 2022,The printer is super easy to set up and use and the installation is quick. The color is also beautiful and it looks good for home or professional usage.
Jyoti,Reviewed in India on 20 November 2020,"Model no mentiond 2331 but on papper information mentioned 2300 DeskJet
All details mentioned china company"
alok s.,Reviewed in India on 26 August 2022,"Bad product, after 3 month problem. Not work. Company not response. Customer care number unreachable.
Bad product No one should buy this product because this product has no warranty It gets worse within a month or two This company has no service center .totally damage product"
Usama,Reviewed in India on 22 September 2021,Worth for this price. I liked it. But a problem faced. The power connection wire is loose. it always disconnecting. Also the given catridge will empty when print about 20 pages. You need to buy new one. According to others it is too costly. Use it if you are using less purpose usage only.
Ravishanker v.,Reviewed in India on 11 November 2020,"Part:Fiber
Port:laptop/computer connection
Compatible with Linux without nay issue.
Quality of Print : Fine
Printing Speed slow
Cartage Size: Very Small (20 papers at a single cartage)"
Saswati C.,Reviewed in India on 4 February 2023,"Printer is not good,never buy online printers,the paper doesn't get down"
Tejus Srinivas,Reviewed in India on 18 December 2020,Print quality is good. However cost per page works out to be very expensive.
Amazon Customer,Reviewed in India on 12 April 2021,"It's a food product however need lot of ink.
Not so cost effective though but very good in quality."
Akash Yadav,Reviewed in India on 4 May 2022,"don't buy it ,take ink tank printer it will definitely cost efficient"
Malini P,Reviewed in India on 11 March 2023,Very bad
Rohit Subhash Adarkar,Reviewed in India on 15 January 2022,"I struggled with the installation as the drivers don't get installed automatically. Even after downloading it from hp website, the hp smart software was not able to detect my printer. Had to take support from hp tech support.
Other than that the printer is superb."
Harishwar sagar,Reviewed in India on 2 November 2020,"I got a second hand product the product was opened and on side the barcodes were torn and then everything was just rapped with a tape

I always thought when I read review that ""it would not happen to me I will get a good product""

but here we are

Also the main box was opened and over it there was a plastic tape put to show as if it was original seal u can make out with just the packing

The product looked as of the person has been using it and he soled it

Plz think about this when u buy this product"
Binoy,Reviewed in India on 9 October 2020,Hp printer deriver installation is difficult .. no cd with packet. Now works normal..
